x,y,z
-11.1601,-14.0515,27.5876
-11.4288,-13.9005,28.6057
-11.6521,-13.6342,29.6139
-11.8231,-13.2523,30.5914
-11.9361,-12.7584,31.5169
-11.9862,-12.161,32.3698
-11.9702,-11.4725,33.1316
-11.8865,-10.7089,33.7865
-11.7351,-9.88933,34.3227
-11.5183,-9.03421,34.733
-11.2399,-8.16455,35.0145
-10.9053,-7.30058,35.1691
-10.5214,-6.46066,35.2025
-10.0959,-5.66049,35.1239
-9.63716,-4.91262,34.9446
-9.15384,-4.22619,34.6774
-8.65441,-3.60702,34.3357
-8.14697,-3.05787,33.9326
-7.63895,-2.57886,33.4806
-7.13702,-2.168,32.9909
-6.64691,-1.82167,32.4735
-6.17341,-1.53515,31.9367
-5.72039,-1.30303,31.3877
-5.29078,-1.11959,30.832
-4.88673,-0.979072,30.2742
-4.5096,-0.875934,29.7177
-4.16014,-0.804959,29.1652
-3.83855,-0.761374,28.6186
-3.54456,-0.740897,28.0793
-3.27756,-0.739763,27.5482
-3.03666,-0.754712,27.0261
-2.82078,-0.782974,26.5131
-2.62867,-0.822235,26.0098
-2.45904,-0.870597,25.516
-2.31053,-0.92654,25.0319
-2.1818,-0.988879,24.5575
-2.07152,-1.05673,24.0928
-1.97843,-1.12945,23.6376
-1.90134,-1.20665,23.1919
-1.83914,-1.28811,22.7558
-1.79081,-1.3738,22.3291
-1.75545,-1.4638,21.9118
-1.73223,-1.55837,21.504
-1.72046,-1.65782,21.1057
-1.71952,-1.7626,20.7168
-1.72892,-1.87322,20.3376
-1.74826,-1.9903,19.9682
-1.77725,-2.11449,19.6086
-1.81566,-2.24654,19.259
-1.8634,-2.38725,18.9199
-1.92044,-2.53749,18.5913
-1.98685,-2.6982,18.2738
-2.06277,-2.87036,17.9678
-2.14846,-3.05504,17.6737
-2.24421,-3.25335,17.3923
-2.35043,-3.46649,17.1243
-2.46759,-3.6957,16.8706
-2.59625,-3.94228,16.6323
-2.73702,-4.20758,16.4105
-2.8906,-4.49301,16.2067
-3.05777,-4.8,16.0226
-3.23934,-5.12998,15.86
-3.4362,-5.48438,15.7213
-3.64929,-5.86458,15.609
-3.87958,-6.27186,15.526
-4.12808,-6.70736,15.4758
-4.39577,-7.17199,15.4621
-4.68364,-7.66633,15.4894
-4.9926,-8.19053,15.5624
-5.32348,-8.74418,15.6866
-5.67693,-9.32612,15.868
-6.05342,-9.93423,16.113
-6.45309,-10.5653,16.4286
-6.8757,-11.2145,16.8219
-7.32051,-11.8757,17.3003
-7.78616,-12.5405,17.8709
-8.27052,-13.1984,18.5403
-8.77055,-13.8365,19.314
-9.28217,-14.4397,20.1957
