i,x,y,z
252,-7.71408,-10.0449,23.3937
253,-7.94795,-10.2914,23.7191
254,-8.1821,-10.5181,24.0805
255,-8.41442,-10.7209,24.4764
256,-8.64258,-10.8952,24.9047
257,-8.86407,-11.0366,25.3624
258,-9.07616,-11.1407,25.8454
259,-9.27601,-11.2036,26.3491
260,-9.46069,-11.2218,26.8679
261,-9.62726,-11.1926,27.3955
262,-9.77281,-11.1139,27.9247
263,-9.89459,-10.9849,28.4482
264,-9.99007,-10.8058,28.958
265,-10.0571,-10.5781,29.4463
266,-10.0938,-10.3044,29.9053
267,-10.0988,-9.98884,30.328
268,-10.0716,-9.63631,30.7077
269,-10.0118,-9.25282,31.0391
270,-9.92005,-8.84505,31.3177
271,-9.7973,-8.42012,31.5404
272,-9.64526,-7.98535,31.7056
273,-9.46614,-7.54795,31.8127
274,-9.26258,-7.11477,31.8625
275,-9.03764,-6.6921,31.857
276,-8.79462,-6.28548,31.7989
277,-8.53699,-5.8996,31.6919
278,-8.26832,-5.53824,31.54
279,-7.99214,-5.20424,31.3477
280,-7.71186,-4.89957,31.1195
281,-7.43073,-4.62536,30.8601
282,-7.15175,-4.38204,30.5739
283,-6.87765,-4.1694,30.2653
284,-6.61085,-3.98675,29.9381
285,-6.35348,-3.833,29.596
286,-6.1073,-3.70679,29.2424
287,-5.87382,-3.60658,28.88
288,-5.65421,-3.53072,28.5117
289,-5.44938,-3.47755,28.1396
290,-5.26002,-3.44542,27.7657
291,-5.08658,-3.43278,27.3919
292,-4.92932,-3.43816,27.0198
293,-4.78836,-3.46024,26.6505
294,-4.66367,-3.49782,26.2855
295,-4.55514,-3.54988,25.9257
296,-4.46254,-3.61553,25.5722
297,-4.38564,-3.69403,25.2258
298,-4.32412,-3.7848,24.8874
299,-4.27767,-3.88739,24.5579
300,-4.24595,-4.00145,24.238
301,-4.22866,-4.12677,23.9284
302,-4.22548,-4.26323,23.6301
303,-4.23612,-4.41081,23.3438
304,-4.26033,-4.56953,23.0703
305,-4.29789,-4.7395,22.8106
306,-4.3486,-4.92086,22.5656
307,-4.41229,-5.11378,22.3363
308,-4.48886,-5.31844,22.1238
309,-4.57818,-5.53501,21.9293
310,-4.6802,-5.76364,21.7539
311,-4.79485,-6.00442,21.5991
312,-4.9221,-6.25737,21.4662
313,-5.06189,-6.52242,21.3569
314,-5.21418,-6.79936,21.2728
315,-5.3789,-7.08781,21.2157
316,-5.55592,-7.38722,21.1873
317,-5.74509,-7.69677,21.1897
318,-5.94616,-8.01538,21.2248
319,-6.1588,-8.34166,21.2946
320,-6.38256,-8.67384,21.4012
321,-6.61683,-9.00974,21.5464
322,-6.86085,-9.34674,21.7322
323,-7.11365,-9.68174,21.9602
324,-7.37403,-10.0111,22.2316
325,-7.64054,-10.3308,22.5476
326,-7.91145,-10.6361,22.9084
327,-8.18474,-10.9219,23.314
328,-8.45806,-11.1828,23.7633
329,-8.72875,-11.413,24.2544
330,-8.99386,-11.6065,24.7844
331,-9.25014,-11.7573,25.3492
332,-9.4941,-11.8599,25.9436
333,-9.72205,-11.909,26.5611
334,-9.93021,-11.9002,27.194
335,-10.1148,-11.8301,27.8337
336,-10.2721,-11.6968,28.4705
337,-10.3986,-11.4996,29.0944
338,-10.4913,-11.2399,29.6949
339,-10.5476,-10.9205,30.2617
340,-10.5654,-10.5463,30.785
341,-10.5434,-10.1235,31.256
342,-10.4814,-9.65999,31.6672
343,-10.3794,-9.16464,32.0126
344,-10.2389,-8.64699,32.2881
345,-10.0619,-8.11687,32.4914
346,-9.85098,-7.58399,32.622
347,-9.60969,-7.0575,32.6814
348,-9.34191,-6.54571,32.6724
349,-9.05192,-6.05581,32.599
350,-8.74421,-5.59374,32.4666
351,-8.42335,-5.16411,32.2806
352,-8.09384,-4.77019,32.0474
353,-7.76002,-4.41401,31.773
354,-7.42594,-4.09648,31.4635
355,-7.0953,-3.81753,31.1247
