i,x,y,z
214,-9.91612,-10.2763,28.3476
215,-9.94335,-10.1269,28.6016
216,-9.95267,-9.95487,28.8349
217,-9.94373,-9.76257,29.0442
218,-9.91648,-9.553,29.2265
219,-9.87117,-9.3294,29.3794
220,-9.80836,-9.09529,29.5009
221,-9.72888,-8.85429,29.5898
222,-9.63385,-8.61007,29.6455
223,-9.52461,-8.36621,29.6678
224,-9.40272,-8.12615,29.6572
225,-9.2699,-7.89307,29.6146
226,-9.12799,-7.66985,29.5416
227,-8.97892,-7.45902,29.4399
228,-8.82466,-7.26274,29.3117
229,-8.66719,-7.08278,29.1593
230,-8.50842,-6.92053,28.9852
231,-8.35022,-6.77701,28.7919
232,-8.19435,-6.65291,28.5823
233,-8.04246,-6.54861,28.3588
234,-7.89606,-6.46423,28.124
235,-7.75652,-6.39968,27.8805
236,-7.62507,-6.35466,27.6306
237,-7.50277,-6.32875,27.3767
238,-7.39055,-6.32142,27.1209
239,-7.28918,-6.33205,26.8653
240,-7.19932,-6.35998,26.6118
241,-7.12147,-6.4045,26.3623
242,-7.05604,-6.4649,26.1186
243,-7.00332,-6.54047,25.8822
244,-6.96352,-6.63049,25.6548
245,-6.93674,-6.73424,25.4379
246,-6.92302,-6.85102,25.2329
247,-6.92232,-6.98012,25.0412
248,-6.93454,-7.12082,24.8641
249,-6.95951,-7.27237,24.7031
250,-6.99702,-7.434,24.5593
251,-7.04681,-7.6049,24.434
252,-7.10852,-7.78418,24.3284
253,-7.1818,-7.97088,24.2435
254,-7.26618,-8.16395,24.1806
255,-7.36117,-8.36224,24.1406
256,-7.46619,-8.56444,24.1245
257,-7.58059,-8.76915,24.1331
258,-7.70364,-8.97477,24.1672
259,-7.83453,-9.17958,24.2272
260,-7.97233,-9.38169,24.3135
261,-8.11605,-9.57904,24.4263
262,-8.26454,-9.76944,24.5655
263,-8.4166,-9.95054,24.7308
264,-8.57087,-10.1199,24.9213
265,-8.7259,-10.275,25.1359
266,-8.88016,-10.4134,25.3733
267,-9.03199,-10.5325,25.6314
268,-9.17967,-10.6298,25.908
269,-9.32142,-10.7032,26.2002
270,-9.45542,-10.7507,26.5049
271,-9.57986,-10.7704,26.8184
272,-9.69295,-10.7613,27.1368
273,-9.79297,-10.7224,27.4558
274,-9.87832,-10.6534,27.7711
275,-9.94754,-10.5547,28.078
276,-9.99937,-10.4272,28.372
277,-10.0328,-10.2724,28.6487
278,-10.0471,-10.0924,28.9039
279,-10.0418,-9.8899,29.1339
280,-10.0167,-9.66801,29.3353
281,-9.97215,-9.43026,29.5054
282,-9.90858,-9.18047,29.6419
283,-9.82687,-8.92262,29.7434
284,-9.72816,-8.66072,29.809
285,-9.61389,-8.39873,29.8387
286,-9.48572,-8.14043,29.8328
287,-9.34548,-7.88933,29.7924
288,-9.19517,-7.64862,29.719
289,-9.03688,-7.42108,29.6147
290,-8.87273,-7.20908,29.4817
291,-8.70485,-7.01454,29.3225
292,-8.53535,-6.83897,29.1399
293,-8.36623,-6.68347,28.9368
294,-8.19941,-6.54874,28.7159
295,-8.03667,-6.43517,28.4801
296,-7.87963,-6.34285,28.2322
297,-7.72978,-6.27163,27.9749
298,-7.58841,-6.22115,27.7106
299,-7.45668,-6.19093,27.4419
300,-7.33556,-6.18034,27.1711
301,-7.22588,-6.1887,26.9002
302,-7.12833,-6.21525,26.6314
