t,distance
4.38,2.82066e-006
4.39,2.7444e-006
4.4,2.67088e-006
4.41,2.60041e-006
4.42,2.53318e-006
4.43,2.46926e-006
4.44,2.4087e-006
4.45,2.35146e-006
4.46,2.29752e-006
4.47,2.24685e-006
4.48,2.19947e-006
4.49,2.15544e-006
4.5,2.11486e-006
4.51,2.07794e-006
4.52,2.04499e-006
4.53,2.01639e-006
4.54,1.99265e-006
4.55,1.97439e-006
4.56,1.96235e-006
4.57,1.95737e-006
4.58,1.96037e-006
4.59,1.97237e-006
4.6,1.9944e-006
4.61,2.02751e-006
4.62,2.07272e-006
4.63,2.13096e-006
4.64,2.20303e-006
4.65,2.28962e-006
4.66,2.3912e-006
4.67,2.50808e-006
4.68,2.64037e-006
4.69,2.78796e-006
4.7,2.95052e-006
4.71,3.12749e-006
4.72,3.31803e-006
4.73,3.52101e-006
4.74,3.73499e-006
4.75,3.95814e-006
4.76,4.1882e-006
4.77,4.4225e-006
4.78,4.65787e-006
4.79,4.89068e-006
4.8,5.11686e-006
4.81,5.33197e-006
4.82,5.53133e-006
4.83,5.71019e-006
4.84,5.864e-006
4.85,5.98869e-006
4.86,6.08103e-006
4.87,6.13899e-006
4.88,6.16203e-006
4.89,6.15139e-006
4.9,6.11012e-006
4.91,6.04298e-006
4.92,5.9561e-006
4.93,5.85629e-006
4.94,5.75037e-006
4.95,5.64423e-006
4.96,5.54219e-006
4.97,5.44655e-006
4.98,5.35752e-006
4.99,5.27354e-006
5,5.19193e-006
5.01,5.10951e-006
5.02,5.02327e-006
5.03,4.93083e-006
5.04,4.83068e-006
5.05,4.72228e-006
5.06,4.60592e-006
5.07,4.48261e-006
5.08,4.35387e-006
5.09,4.22148e-006
5.1,4.08736e-006
5.11,3.95338e-006
5.12,3.82123e-006
5.13,3.69241e-006
5.14,3.56811e-006
5.15,3.44924e-006
5.16,3.33644e-006
5.17,3.23005e-006
5.18,3.13021e-006
5.19,3.03686e-006
5.2,2.94978e-006
5.21,2.86867e-006
5.22,2.79317e-006
5.23,2.72285e-006
5.24,2.65735e-006
5.25,2.59628e-006
5.26,2.53934e-006
5.27,2.48628e-006
5.28,2.43693e-006
5.29,2.3912e-006
5.3,2.34911e-006
5.31,2.31076e-006
5.32,2.27638e-006
5.33,2.2463e-006
5.34,2.22096e-006
5.35,2.20095e-006
5.36,2.18695e-006
5.37,2.17979e-006
5.38,2.18043e-006
5.39,2.18993e-006
5.4,2.20947e-006
5.41,2.24029e-006
5.42,2.28372e-006
5.43,2.34108e-006
5.44,2.41373e-006
5.45,2.50296e-006
5.46,2.61001e-006
5.47,2.73605e-006
5.48,2.88215e-006
5.49,3.04929e-006
5.5,3.23835e-006
5.51,3.45007e-006
5.52,3.68508e-006
5.53,3.94385e-006
5.54,4.22666e-006
5.55,4.53353e-006
5.56,4.86415e-006
5.57,5.21782e-006
5.58,5.5933e-006
5.59,5.98872e-006
5.6,6.40143e-006
5.61,6.82785e-006
5.62,7.26339e-006
5.63,7.70232e-006
5.64,8.13771e-006
5.65,8.56149e-006
5.66,8.96456e-006
5.67,9.33712e-006
5.68,9.66908e-006
5.69,9.95075e-006
5.7,1.01736e-005
5.71,1.03311e-005
5.72,1.04199e-005
5.73,1.044e-005
5.74,1.03958e-005
5.75,1.02952e-005
5.76,1.01493e-005
5.77,9.97083e-006
5.78,9.7723e-006
5.79,9.56412e-006
5.8,9.35337e-006
5.81,9.14317e-006
5.82,8.93306e-006
5.83,8.7201e-006
5.84,8.50027e-006
5.85,8.26981e-006
5.86,8.02613e-006
5.87,7.76835e-006
5.88,7.49727e-006
5.89,7.21518e-006
5.9,6.9254e-006
5.91,6.63188e-006
5.92,6.33875e-006
5.93,6.04999e-006
5.94,5.76922e-006
5.95,5.49949e-006
5.96,5.2432e-006
5.97,5.00212e-006
5.98,4.77731e-006
5.99,4.5693e-006
6,4.37802e-006
6.01,4.20301e-006
6.02,4.04345e-006
6.03,3.89827e-006
6.04,3.76623e-006
6.05,3.64602e-006
6.06,3.53631e-006
6.07,3.43583e-006
6.08,3.34337e-006
6.09,3.25783e-006
6.1,3.17821e-006
6.11,3.10367e-006
6.12,3.03346e-006
6.13,2.96695e-006
6.14,2.9036e-006
6.15,2.843e-006
6.16,2.78476e-006
6.17,2.7286e-006
6.18,2.67428e-006
6.19,2.6216e-006
6.2,2.57041e-006
6.21,2.52058e-006
6.22,2.472e-006
6.23,2.42458e-006
6.24,2.37825e-006
6.25,2.33295e-006
6.26,2.28861e-006
6.27,2.24519e-006
6.28,2.20262e-006
6.29,2.16088e-006
6.3,2.1199e-006
6.31,2.07965e-006
6.32,2.04007e-006
6.33,2.00113e-006
6.34,1.96277e-006
6.35,1.92498e-006
6.36,1.8877e-006
6.37,1.85092e-006
6.38,1.81464e-006
6.39,1.77888e-006
6.4,1.7437e-006
6.41,1.7092e-006
6.42,1.67556e-006
6.43,1.64306e-006
6.44,1.61209e-006
6.45,1.5832e-006
6.46,1.55715e-006
6.47,1.53497e-006
6.48,1.51793e-006
6.49,1.50768e-006
6.5,1.50613e-006
6.51,1.51549e-006
6.52,1.53809e-006
6.53,1.5762e-006
6.54,1.63181e-006
6.55,1.7063e-006
6.56,1.80026e-006
6.57,1.91328e-006
6.58,2.0439e-006
6.59,2.18955e-006
6.6,2.34663e-006
6.61,2.51057e-006
6.62,2.67601e-006
6.63,2.83698e-006
6.64,2.98729e-006
6.65,3.12095e-006
6.66,3.23269e-006
6.67,3.31852e-006
6.68,3.3762e-006
6.69,3.40548e-006
6.7,3.40811e-006
6.71,3.38746e-006
6.72,3.34785e-006
6.73,3.29384e-006
6.74,3.22947e-006
6.75,3.15782e-006
6.76,3.08086e-006
6.77,2.99959e-006
6.78,2.91441e-006
6.79,2.82545e-006
6.8,2.73291e-006
6.81,2.63717e-006
6.82,2.53892e-006
